CCAA,Total casos,IA (casos/100.000 habitantes),Ingreso en UCI,Fallecidos
Andalucía,21,"0,25",1,0
Aragón,6,"0,45",1,1
Asturias,5,"0,49",2,0
Baleares,6,"0,52",0,0
Canarias,11,"0,51",0,0
Cantabria,10,"1,72",0,0
Castilla La Mancha,15,"0,74",1,0
Castilla y León,14,"0,58",1,0
Cataluña,24,"0,31",0,0
Ceuta,0,"0,00",0,0
C. Valenciana,30,"0,60",1,1
Extremadura,6,"0,56",0,0
Galicia,3,"0,11",0,0
Madrid,137,"2,06",2,2
Melilla,0,"0,00",0,0
Murcia,0,"0,00",0,0
Navarra,3,"0,46",1,0
País Vasco,45,"2,04",1,1
La Rioja,29,"9,15",0,0
Total,365,"0,78",11,5
