CCAA,TOTAL conf.,IA (14 d.),Hospitalizados,UCI,Fallecidos,respecto ayer
Andalucía,1.725,"20,10",724,55,47,210
Aragón,532,"39,49",241,45,24,108
Asturias,545,"52,60",171,15,8,59
Baleares,331,"28,10",79,14,4,85
Canarias,414,"18,44",150,32,9,66
Cantabria,282,"46,47",116,9,5,67
Castilla La Mancha,1.819,"88,74",838,76,112,396
Castilla y León,1.744,"71,76",709,106,74,278
Cataluña,4.704,"60,65",1.681,298,191,501
Ceuta,5,"5,90",0,0,0,0
C. Valenciana,1.604,"31,32",590,113,69,241
Extremadura,384,"35,40",87,8,14,30
Galicia,915,"33,71",227,35,12,176
Madrid,9.702,"142,98",8.441,834,1.021,781
Melilla,25,"28,91",12,1,0,0
Murcia,296,"19,75",78,16,1,56
Navarra,794,"120,91",288,30,14,130
País Vasco,2.097,"91,81",988,81,97,372
La Rioja,654,"189,08",134,17,18,90
ESPAÑA,28.572,"59,64",15.554,1.785,1.720,3.646
