CCAA,Total casos,IA últimos 14 días,Ingreso en UCI,Fallecidos
Andalucía,1287,"15,05",38,30
Aragón,360,"26,83",28,17
Asturias,344,"33,14",7,2
Baleares,203,"17,14",10,2
Canarias,287,"12,82",25,4
Cantabria,144,"23,06",7,1
Castilla-La Mancha,1.044,"50,62",37,62
Castilla y León,1.147,"47,22",69,43
Cataluña,3.270,"42,29",33,82
Ceuta,5,"5,90",0,0
C. Valenciana,1.105,"21,48",71,33
Extremadura,297,"27,25",4,10
Galicia,578,"21,30",19,5
Madrid,7.165,"105,47",678,628
Melilla,24,"27,75",1,0
Murcia,204,"13,66",11,0
Navarra,554,"84,22",19,5
País Vasco,1.465,"64,32",53,71
La Rioja,497,"147,73",15,7
Total,19.980,"41,71",1.141,1.002
