CCAA,TOTAL conf.,IA (14 d.),Hospitalizados,UCI,Fallecidos,Curados,Nuevos
Andalucía,3.406,"38,96",1.626,134,134,77,396
Aragón,1.116,"79,43",562,93,48,4,209
Asturias,841,"77,84",300,34,27,40,62
Baleares,660,"53,23",205,43,17,39,98
Canarias,784,"33,01",279,45,24,18,127
Cantabria,671,"112,55",300,26,17,14,161
Castilla La Mancha,3.383,"160,32",2.162,243,316,95,603
Castilla y León,3.488,"141,33",1.515,202,206,308,548
Cataluña,11.592,"148,92",7.439,1.021,672,1.697,1.655
Ceuta,10,"11,84",2,2,0,0,1
C. Valenciana,3.200,"62,50",1.278,230,167,57,584
Extremadura,969,"89,39",241,34,58,24,227
Galicia,1.915,"69,66",503,86,32,47,262
Madrid,17.166,"236,00",12.440,1.221,2.090,3.882,2.569
Melilla,39,"46,27",16,2,1,0,1
Murcia,596,"38,14",172,36,8,9,119
Navarra,1.411,"205,05",649,54,49,35,214
País Vasco,3.946,"164,99",1.907,137,180,621,675
La Rioja,995,"251,20",316,36,43,48,67
ESPAÑA,56.188,"113,03",31.912,3.679,4.089,7.015,8.578
