CCAA,Total casos,IA (casos/100.000 habitantes),Ingreso en UCI,Fallecidos
Andalucía,54,"0,64",1,0
Aragón,13,"0,99",1,1
Asturias,7,"0,68",2,0
Baleares,11,"0,96",0,0
Canarias,22,"1,02",0,0
Cantabria,12,"2,07",0,0
Castilla La Mancha,26,"1,28",2,0
Castilla y León,23,"0,96",1,0
Cataluña,75,"0,98",0,1
Ceuta,0,"0,00",0,0
C. Valenciana,37,"0,74",1,1
Extremadura,7,"0,66",0,0
Galicia,6,"0,22",0,0
Madrid,469,"7,04",53,8
Melilla,0,"0,00",0,0
Murcia,4,"0,27",0,0
Navarra,3,"0,46",1,0
País Vasco,149,"6,75",5,5
La Rioja,81,"25,57",1,0
Total,999,"2,14",68,16
