CCAA,TOTAL conf.,IA (14 d.),Hospitalizados,UCI,Fallecidos,Curados,Nuevos
Andalucía,3.010,"34,57",1.433,116,113,71,539
Aragón,907,"65,09",459,75,40,4,149
Asturias,779,"73,24",263,29,25,35,117
Baleares,562,"45,55",164,40,13,28,84
Canarias,657,"27,92",235,43,21,15,100
Cantabria,510,"85,57",241,18,14,12,85
Castilla La Mancha,2.780,"132,90",2.162,210,263,71,315
Castilla y León,2.940,"119,40",1.244,170,165,213,480
Cataluña,9.937,"128,54",5.434,781,516,1.274,2.073
Ceuta,9,"10,66",2,1,0,0,3
C. Valenciana,2.616,"51,03",1.071,198,143,44,449
Extremadura,742,"68,97",209,28,39,8,106
Galicia,1.653,"59,95",412,69,27,25,238
Madrid,14.597,"203,02",11.153,1.150,1.825,3.031,2.245
Melilla,38,"45,08",14,2,0,0,10
Murcia,477,"31,18",127,33,5,4,92
Navarra,1.197,"176,39",506,51,33,23,183
País Vasco,3.271,"139,60",1.577,119,155,466,543
La Rioja,928,"238,17",254,33,37,43,126
ESPAÑA,47.610,"96,56",26.960,3.166,3.434,5.367,7.937
