CCAA,Total casos,IA últimos 14 días,Ingreso en UCI,Fallecidos
Andalucía,859,"10,07",21,19
Aragón,226,"17,13",9,13
Asturias,242,"23,46",5,1
Baleares,112,"9,31",4,1
Canarias,181,"8,08",17,3
Cantabria,68,"9,98",3,1
Castilla-La Mancha,675,"32,61",29,28
Castilla y León,668,"27,38",43,22
Cataluña,1.866,"24,12",33,41
Ceuta,1,"1,18",0,0
C. Valenciana,726,"14,13",40,22
Extremadura,194,"17,61",3,6
Galicia,341,"12,59",12,3
Madrid,5637,"83,55",491,390
Melilla,20,"23,12",0,0
Murcia,122,"8,17",4,0
Navarra,386,"58,54",10,3
País Vasco,973,"43,30",37,40
La Rioja,419,"130,05",13,5
Total,13.716,"28,75",774,598
