CCAA,TOTAL conf.,IA (14 d.),Hospitalizados,UCI,Fallecidos,Curados,Nuevos
Andalucía,3.793,"42,48",1.843,148,144,92,387
Aragón,1.338,"95,35",693,114,58,8,222
Asturias,900,"81,44",339,47,29,52,59
Baleares,755,"63,25",237,46,22,67,95
Canarias,878,"37,52",328,61,27,20,94
Cantabria,810,"134,41",355,29,21,19,139
Castilla La Mancha,3.934,"183,98",2.707,273,367,153,551
Castilla y León,4.132,"165,16",1.791,228,252,423,644
Cataluña,12.940,"164,48",8.545,1.187,880,2.348,1.348
Ceuta,17,"20,05",2,2,0,0,7
C. Valenciana,3.532,"68,71",1.422,252,198,73,332
Extremadura,1.231,"111,64",277,41,69,33,262
Galicia,2.322,"82,87",557,98,43,67,407
Madrid,19.243,"258,92",13.580,1.312,2.412,5.044,2.077
Melilla,42,"46,25",18,2,1,0,3
Murcia,714,"45,45",209,53,15,12,118
Navarra,1.641,"230,96",732,75,58,70,230
País Vasco,4.601,"189,51",2.270,154,207,814,655
La Rioja,1.236,"313,45",388,43,55,62,241
ESPAÑA,64.059,"127,27",36.293,4.165,4.858,9.357,7.871
