CCAA,Total casos,IA últimos 14 días,Ingreso en UCI,Fallecidos
Andalucía,90,"1,07",3,0
Aragón,45,"3,41",3,4
Asturias,32,"3,13",2,0
Baleares,16,"1,39",1,0
Canarias,37,"1,49",1,0
Cantabria,12,"2,07",0,0
Castilla-La Mancha,71,"3,49",5,0
Castilla y León,71,"2,96",2,0
Cataluña,156,"2,02",0,3
Ceuta,0,"0,00",0,0
C. Valenciana,65,"1,28",1,1
Extremadura,9,"0,84",1,0
Galicia,39,"1,44",2,0
Madrid,1024,"15,34",102,31
Melilla,0,"0,00",0,0
Murcia,11,"0,74",0,0
Navarra,46,"7,03",3,0
País Vasco,225,"10,19",15,6
La Rioja,179,"56,50",1,2
Total,2128,"4,55",142,47
