CCAA,Total casos,IA últimos 14 días,Ingreso en UCI,Fallecidos
Andalucía,115,"1,35",4,0
Aragón,64,"4,85",3,6
Asturias,47,"4,60",2,1
Baleares,22,"1,83",2,1
Canarias,51,"2,09",3,0
Cantabria,16,"2,75",0,0
Castilla-La Mancha,115,"5,66",9,1
Castilla y León,92,"3,83",4,0
Cataluña,260,"3,36",0,4
Ceuta,0,"0,00",0,0
C. Valenciana,76,"1,48",2,1
Extremadura,19,"1,78",1,1
Galicia,35,"1,30",2,0
Madrid,1388,"20,77",135,56
Melilla,0,"0,00",0,0
Murcia,26,"1,74",1,0
Navarra,73,"11,16",3,0
País Vasco,346,"15,67",18,11
La Rioja,205,"64,71",1,2
Total,2.950,"6,29",190,84
