CCAA,Total casos,IA últimos 14 días,Ingreso en UCI,Fallecidos
Andalucía,683,"7,97",13,11
Aragón,207,"15,69",9,12
Asturias,193,"18,77",5,1
Baleares,92,"7,83",4,1
Canarias,148,"6,55",13,2
Cantabria,58,"8,26",2,0
Castilla-La Mancha,567,"27,55",23,17
Castilla y León,431,"17,63",24,12
Cataluña,1.394,"17,97",33,18
Ceuta,1,"1,18",0,0
C. Valenciana,541,"10,51",27,13
Extremadura,153,"13,77",2,3
Galicia,292,"10,82",9,3
Madrid,4.871,"72,37",340,355
Melilla,17,"19,66",0,0
Murcia,97,"6,49",3,0
Navarra,313,"47,69",10,2
País Vasco,765,"34,06",33,36
La Rioja,355,"111,11",13,5
Total,11.178,"23,45",563,491
