CCAA,TOTAL conf.,IA (14 d.),Hospitalizados,UCI,Fallecidos,Curados,Nuevos
Andalucía,2.471,"28,52",1.132,102,87,66,510
Aragón,758,"54,57",384,66,37,3,120
Asturias,662,"62,57",224,23,22,30,68
Baleares,478,"40,45",127,35,10,19,78
Canarias,557,"24,71",207,36,16,8,76
Cantabria,425,"71,07",200,16,9,12,78
Castilla La Mancha,2.465,"119,34",1.826,182,216,53,387
Castilla y León,2.460,"100,19",1.057,137,124,140,405
Cataluña,7.864,"100,84",3.599,551,282,728,1.939
Ceuta,6,"7,08",0,0,0,0,0
C. Valenciana,2.167,"42,31",917,161,115,37,266
Extremadura,636,"58,82",161,20,26,8,143
Galicia,1.415,"51,60",338,55,20,19,207
Madrid,12.352,"173,64",10.443,1.050,1.535,2.291,1.777
Melilla,28,"32,37",12,1,0,0,0
Murcia,385,"25,17",99,26,3,1,40
Navarra,1.014,"153,16",405,45,31,11,128
País Vasco,2.728,"114,73",1.425,106,133,344,307
La Rioja,802,"207,70",206,24,30,24,55
ESPAÑA,39.673,"80,91",22.762,2.636,2.696,3.794,6.584
